county,countyfp20,district_num,district_geoid,area_weight
Hancock,059,31,18031,0.000000000000
Hancock,059,32,18032,0.000000000000
Hancock,059,34,18034,0.000000007668
Hancock,059,42,18042,0.000000000000
Harrison,061,47,18047,0.999999999861
Harrison,061,48,18048,0.000000000139
Hendricks,063,7,18007,0.301209329060
Hendricks,063,24,18024,0.490218304373
Hendricks,063,29,18029,0.000000000000
Hendricks,063,35,18035,0.208572366567
Hendricks,063,37,18037,0.000000000000
Henry,065,25,18025,0.000000000000
Henry,065,26,18026,0.000000002232
Henry,065,27,18027,0.999999997768
Henry,065,28,18028,0.000000000000
Henry,065,42,18042,0.000000000000
Howard,067,7,18007,0.000000000000
Howard,067,17,18017,0.000000000000
Howard,067,18,18018,0.689815665013
Howard,067,21,18021,0.310184334987
Howard,067,22,18022,0.000000000000
Huntington,069,16,18016,0.000000000000
Huntington,069,17,18017,1.000000000000
Huntington,069,19,18019,0.000000000000
Jackson,071,41,18041,0.000000000000
Jackson,071,42,18042,0.000000000000
Jackson,071,43,18043,0.000000000000
Jackson,071,44,18044,1.000000000000
Jackson,071,47,18047,0.000000000000
Jasper,073,5,18005,0.498634146413
Jasper,073,6,18006,0.501365853587
Jasper,073,8,18008,0.000000000000
Jay,075,19,18019,1.000000000000
Jay,075,26,18026,0.000000000000
Jefferson,077,42,18042,0.000000000000
Jefferson,077,43,18043,1.000000000000
Jefferson,077,45,18045,0.000000000000
Jennings,079,41,18041,0.000000000000
Jennings,079,42,18042,0.462173320431
Jennings,079,43,18043,0.537826679569
Jennings,079,44,18044,0.000000000000
Johnson,081,28,18028,0.000000000000
Johnson,081,32,18032,0.153612461234
Johnson,081,36,18036,0.028849978430
Johnson,081,37,18037,0.355410494278
Johnson,081,41,18041,0.462127066058
Johnson,081,42,18042,0.000000000000
Johnson,081,44,18044,0.000000000000
Knox,083,39,18039,0.999975674342
Knox,083,48,18048,0.000024325658
Kosciusko,085,8,18008,0.000000000000
Kosciusko,085,9,18009,0.495813345278
Kosciusko,085,13,18013,0.000000000000
Kosciusko,085,16,18016,0.000000000000
Kosciusko,085,17,18017,0.000000000000
Kosciusko,085,18,18018,0.504186654722
LaGrange,087,11,18011,0.000000000000
LaGrange,087,12,18012,0.000000000000
LaGrange,087,13,18013,1.000000000000
LaPorte,091,4,18004,0.149372486329
LaPorte,091,5,18005,0.000000000000
LaPorte,091,8,18008,0.850627513671
LaPorte,091,10,18010,0.000000000000
Lake,089,1,18001,0.110404866622
Lake,089,2,18002,0.083884880636
Lake,089,3,18003,0.372712500304
Lake,089,4,18004,0.000000000000
Lake,089,5,18005,0.000013669673
Lake,089,6,18006,0.432984082765
Lawrence,093,39,18039,0.000000000000
Lawrence,093,40,18040,0.000000000000
Lawrence,093,44,18044,1.000000000000
Lawrence,093,47,18047,0.000000000000
Madison,095,17,18017,0.000000000000
Madison,095,20,18020,0.000000003452
Madison,095,21,18021,0.000000000000
Madison,095,25,18025,0.999999996548
Madison,095,26,18026,0.000000000000
Madison,095,27,18027,0.000000000000
Madison,095,28,18028,0.000000000000
Madison,095,31,18031,0.000000000000
Marion,097,7,18007,0.000000000000
Marion,097,20,18020,0.000000000000
Marion,097,24,18024,0.000000000000
Marion,097,28,18028,0.022091093158
Marion,097,29,18029,0.083816347245
Marion,097,30,18030,0.140316108372
Marion,097,31,18031,0.037616205043
Marion,097,32,18032,0.161859366565
Marion,097,33,18033,0.089558317243
Marion,097,34,18034,0.119294929476
Marion,097,35,18035,0.147456095552
Marion,097,36,18036,0.105866922669
Marion,097,37,18037,0.000000000000
Marion,097,46,18046,0.092124614676
Marshall,099,8,18008,0.861705518471
Marshall,099,9,18009,0.138294481529
Marshall,099,18,18018,0.000000000000
Martin,101,39,18039,1.000000000000
Martin,101,44,18044,0.000000000000
Martin,101,48,18048,0.000000000000
Miami,103,17,18017,0.000000000000
Miami,103,18,18018,1.000000000000
Monroe,105,37,18037,0.000000000000
Monroe,105,39,18039,0.000000050935
Monroe,105,40,18040,0.719511996372
Monroe,105,44,18044,0.280487952693
Montgomery,107,7,18007,0.651818246604
Montgomery,107,22,18022,0.000000000000
Montgomery,107,23,18023,0.348181753396
Montgomery,107,24,18024,0.000000000000
Morgan,109,24,18024,0.000000000000
Morgan,109,35,18035,0.000000000000
Morgan,109,37,18037,1.000000000000
Morgan,109,40,18040,0.000000000000
Morgan,109,44,18044,0.000000000000
Newton,111,6,18006,1.000000000000
Noble,113,9,18009,0.000000000747
Noble,113,13,18013,0.999999999253
Noble,113,16,18016,0.000000000000
Ohio,115,43,18043,1.000000000000
Orange,117,39,18039,0.000000000000
Orange,117,44,18044,1.000000000000
Orange,117,47,18047,0.000000000000
Orange,117,48,18048,0.000000000000
Owen,119,37,18037,0.477637555250
Owen,119,38,18038,0.000000013140
Owen,119,39,18039,0.522362431610
Owen,119,40,18040,0.000000000000
Parke,121,23,18023,1.000000000000
Parke,121,24,18024,0.000000000000
Parke,121,38,18038,0.000000000000
Perry,123,48,18048,1.000000000000
Pike,125,39,18039,0.000000000000
Pike,125,48,18048,1.000000000000
Pike,125,50,18050,0.000000000000
Porter,127,3,18003,0.000000057970
Porter,127,4,18004,0.477341883281
Porter,127,5,18005,0.522658058749
Porter,127,6,18006,0.000000000000
Porter,127,8,18008,0.000000000000
Posey,129,48,18048,0.000000000000
Posey,129,49,18049,1.000000000000
Pulaski,131,5,18005,0.999999996752
Pulaski,131,8,18008,0.000000003248
Pulaski,131,18,18018,0.000000000000
Putnam,133,7,18007,0.000000000000
Putnam,133,23,18023,0.000000000000
Putnam,133,24,18024,0.649295477019
Putnam,133,37,18037,0.350704522981
Putnam,133,38,18038,0.000000000000
Randolph,135,19,18019,0.000000000000
Randolph,135,26,18026,1.000000000000
Randolph,135,27,18027,0.000000000000
Ripley,137,27,18027,0.000000000000
Ripley,137,42,18042,1.000000000000
Ripley,137,43,18043,0.000000000000
Rush,139,27,18027,0.000000000000
Rush,139,28,18028,0.000000064221
Rush,139,42,18042,0.999999935779
Scott,143,43,18043,1.000000000000
Scott,143,44,18044,0.000000000000
Scott,143,45,18045,0.000000000000
Scott,143,47,18047,0.000000000000
Shelby,145,28,18028,0.397994942502
Shelby,145,32,18032,0.000000000000
Shelby,145,41,18041,0.000000000000
Shelby,145,42,18042,0.602005057498
Spencer,147,48,18048,1.000000000000
Spencer,147,50,18050,0.000000000000
St. Joseph,141,8,18008,0.234462430598
St. Joseph,141,9,18009,0.215279649697
St. Joseph,141,10,18010,0.425684459879
St. Joseph,141,11,18011,0.124573459825
St. Joseph,141,12,18012,0.000000000000
Starke,149,5,18005,0.000000000000
Starke,149,8,18008,1.000000000000
Steuben,151,13,18013,1.000000000000
Steuben,151,14,18014,0.000000000000
Sullivan,153,38,18038,0.174790063899
Sullivan,153,39,18039,0.825209936101
Switzerland,155,42,18042,0.000000000000
Switzerland,155,43,18043,1.000000000000
Tippecanoe,157,6,18006,0.000000000000
Tippecanoe,157,7,18007,0.000000001005
Tippecanoe,157,22,18022,0.529894312118
Tippecanoe,157,23,18023,0.470105686877
Tipton,159,7,18007,0.000000000000
Tipton,159,17,18017,0.000000000000
Tipton,159,18,18018,0.000000000000
Tipton,159,21,18021,1.000000000000
Tipton,159,25,18025,0.000000000000
Union,161,27,18027,1.000000000000
Union,161,42,18042,0.000000000000
Vanderburgh,163,48,18048,0.000000000000
Vanderburgh,163,49,18049,0.790483066467
Vanderburgh,163,50,18050,0.209516933533
Vermillion,165,23,18023,1.000000000000
Vermillion,165,38,18038,0.000000000000
Vigo,167,23,18023,0.000000000000
Vigo,167,38,18038,1.000000000000
Vigo,167,39,18039,0.000000000000
Wabash,169,16,18016,0.000000000000
Wabash,169,17,18017,0.999999978115
Wabash,169,18,18018,0.000000021885
Warren,171,6,18006,0.000000000000
Warren,171,23,18023,1.000000000000
Warrick,173,48,18048,0.000000000000
Warrick,173,49,18049,0.000000000000
Warrick,173,50,18050,1.000000000000
Washington,175,43,18043,0.000000000000
Washington,175,44,18044,0.000000000000
Washington,175,45,18045,0.000000000000
Washington,175,47,18047,1.000000000000
Washington,175,48,18048,0.000000000000
Wayne,177,26,18026,0.000000000000
Wayne,177,27,18027,1.000000000000
Wayne,177,42,18042,0.000000000000
Wells,179,14,18014,0.000000000000
Wells,179,17,18017,0.000000000000
Wells,179,19,18019,1.000000000000
White,181,5,18005,0.999999994590
White,181,6,18006,0.000000000000
White,181,18,18018,0.000000000000
White,181,22,18022,0.000000000308
White,181,23,18023,0.000000005102
Whitley,183,9,18009,0.000000000000
Whitley,183,13,18013,0.000000000000
Whitley,183,16,18016,1.000000000000
Whitley,183,17,18017,0.000000000000
Whitley,183,18,18018,0.000000000000
